"","x","y"
"1",594.393754773773,510.775494016707
"2",508.390836371109,529.517059354112
"3",511.986419535242,503.284214250743
"4",574.99830564484,567.27805044502
"5",599.537798017263,597.075053933077
"6",588.213941315189,578.489729738794
"7",591.871998994611,560.956166731194
"8",517.327449307777,511.690284940414
"9",562.781253200956,514.824025193229
"10",584.519834630191,548.706244793721
"11",553.858129470609,518.74996162951
"12",523.199471109547,537.749143736437
"13",501.582922763191,559.162434702739
"14",596.877645328641,560.977734159678
"15",538.845911156386,520.501101762056
"16",592.178950179368,567.461478454061
"17",555.214021238498,502.670223265886
"18",559.861470432952,560.275643807836
"19",530.744486837648,539.269735431299
"20",516.178694693372,596.169144962914
"21",570.617352053523,524.635481648147
"22",510.381671017967,576.162160676904
"23",527.933990838937,550.164545327425
"24",587.49554362148,519.824290391989
"25",513.52736223489,567.933472315781
"26",563.530555926263,536.787176784128
"27",509.780304739252,591.912794718519
"28",509.927966282703,544.281851104461
"29",530.076095531695,518.839729344472
"30",525.817836611532,501.430456549861
"31",518.741698213853,541.551567427814
"32",564.228370320052,599.893840332516
"33",501.702920091338,568.042000429705
"34",539.639031980187,511.066916421987
"35",536.60438193474,555.892218556255
"36",598.281521978788,590.8055056585
"37",570.299471099861,553.773806802928
"38",518.668064032681,548.505200212821
"39",519.974897615612,554.390567052178
"40",527.262732898816,585.99937860854
"41",538.782328972593,576.758395507932
"42",562.948815594427,516.549726948142
"43",540.869041602127,574.004974798299
"44",542.556321108714,555.695158755407
"45",549.769960111007,551.570617617108
"46",571.288280957378,562.142885685898
"47",542.935690353625,544.359816494398
"48",505.290238303132,565.5552261509
"49",502.204399602488,522.581902262755
"50",585.71463378612,580.419581523165
"51",526.478112046607,511.0893903533
"52",579.219655971974,585.537965432741
"53",538.600870175287,591.165540716611
"54",552.436385862529,559.507248201407
"55",529.26093225833,544.610709464177
"56",567.237885226496,592.194957286119
"57",595.674432744272,537.98483456485
"58",553.143485425971,506.981752696447
"59",523.832151782699,571.182960039005
"60",538.813974685036,598.049790924415
"61",595.084059704095,511.045445874333
"62",532.805267861113,544.500301824883
"63",548.897401988506,537.933774245903
"64",570.775152370334,543.822018941864
"65",576.747237332165,547.343120328151
"66",553.611060022376,520.220829127356
"67",547.463724063709,516.236891201697
"68",599.54962648917,592.952870647423
"69",583.10508124996,594.759334111586
"70",508.757153828628,538.624985422939
"71",578.816376253963,501.089889020659
"72",537.720185169019,584.371801652014
"73",533.302484056912,550.659131398425
"74",532.023530034348,541.895750793628
"75",592.707134736702,537.216623756103
"76",508.395941811614,591.150720324367
"77",576.200725883245,536.792122665793
"78",523.257681587711,592.969630053267
"79",517.567899869755,560.175656434149
"80",545.597951626405,504.661915404722
"81",557.214910280891,559.840559633449
"82",577.393049141392,563.552657561377
"83",586.881389655173,548.59339944087
"84",533.407429023646,559.007133892737
"85",565.994044882245,559.41857304424
"86",581.514087761752,563.50170832593
"87",595.192317222245,507.74318925105
"88",578.546056244522,519.82318686787
"89",523.537892685272,522.550280462019
"90",533.742364309728,579.264469118789
"91",595.947127277032,550.715867546387
"92",549.477196554653,514.66558391694
"93",501.251124287955,503.14106263686
"94",514.407466701232,517.915044235997
"95",507.516009733081,571.828629891388
"96",568.114241817966,530.216300324537
"97",525.823026825674,512.87544334773
"98",578.063687868416,570.476330933161
"99",541.828517871909,504.635512758978
"100",550.71123612579,522.927220957354
