,x,y
1,374.5401188,31.42918569
2,950.7143064,636.4104113
3,731.9939418,314.3559811
4,598.6584842,508.5706912
5,156.0186404,907.5664739
6,155.9945203,249.2922291
7,58.08361217,410.382923
8,866.1761458,755.5511385
9,601.1150117,228.7981655
10,708.0725778,76.97990983
11,20.5844943,289.7514529
12,969.9098522,161.2212873
13,832.4426408,929.6976523
14,212.3391107,808.1203796
15,181.8249672,633.4037565
16,183.4045099,871.4605902
17,304.242243,803.6720769
18,524.7564316,186.5700589
19,431.9450186,892.5589985
20,291.2291402,539.3422419
21,611.8528947,807.4401552
22,139.4938607,896.0912999
23,292.1446485,318.003475
24,366.3618433,110.0519245
25,456.0699842,227.9351625
26,785.1759614,427.1077886
27,199.6737822,818.0147659
28,514.2344384,860.7305833
29,592.4145689,6.952130531
30,46.45041272,510.7473026
31,607.5448519,417.4110031
32,170.5241237,222.1078105
33,65.05159299,119.8653673
34,948.8855373,337.6151714
35,965.6320331,942.9097039
36,808.3973481,323.202932
37,304.6137692,518.7906217
38,97.67211401,703.0189589
39,684.2330265,363.6296024
40,440.1524937,971.7820827
41,122.0382348,962.4472949
42,495.1769101,251.7822958
43,34.38852112,497.2485059
44,909.3204021,300.8783098
45,258.7799816,284.8404944
46,662.5222844,36.88694735
47,311.7110761,609.564334
48,520.0680212,502.6790232
49,546.7102793,51.47875125
50,184.8544555,278.6464642
51,969.5846278,908.265886
52,775.1328234,239.5618907
53,939.4989416,144.8948721
54,894.8273504,489.4527603
55,597.8999788,985.6504541
56,921.874235,242.0552715
57,88.49250205,672.1355474
58,195.9828624,761.6196153
59,45.22728891,237.637544
60,325.3303308,728.2163486
61,388.6772897,367.7831327
62,271.3490318,632.3058306
63,828.7375092,633.5297108
64,356.7533267,535.7746841
65,280.9345097,90.28977005
66,542.6960832,835.3024956
67,140.924225,320.780065
68,802.1969808,186.5185104
69,74.55064368,40.77514155
70,986.8869366,590.8929432
71,772.2447693,677.5643618
72,198.7156815,16.58782893
73,5.522117124,512.0930583
74,815.4614285,226.4957752
75,706.8573438,645.1727904
76,729.007168,174.366429
77,771.2703467,690.9377381
78,74.04465173,386.7353463
79,358.4657285,936.7299887
80,115.8690595,137.5209441
81,863.1034259,341.0663511
82,623.2981268,113.4735212
83,330.8980249,924.6936183
84,63.55835029,877.3393534
85,310.9823217,257.9416277
86,325.183322,659.984046
87,729.6061783,817.2222002
88,637.5574714,555.2008116
89,887.2127426,529.6505784
90,472.2149252,241.8522909
91,119.5942459,93.10276781
92,713.2447872,897.215758
93,760.7850486,900.4180572
94,561.2771976,633.1014573
95,770.96718,339.029791
96,493.7955964,349.2095746
97,522.7328294,725.9556789
98,427.5410184,897.11026
99,25.41912674,887.0864243
100,107.891427,779.8755459
